Altium Designer Pick and Place Locations
F:\FIT VUT\=DP2=\RPIZeroShield\RPiZeroShield\Project Outputs for RPiZeroShield\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       09/05/22
Time:       06:05
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment            Layer       Footprint                        Center-X(mil) Center-Y(mil) Rotation Description                                                                                   
C11        GRM3195C1H104GA05D BottomLayer FP-GRM319-0_15-IPC_A             2170.079      158.661       0        "Multi-Layer Ceramic Capacitor 0.1uF C0G 2% 1206 Paper T/R"                                   
R18        ERJ-P08D1002V      TopLayer    ERJP08_(1206)                    1332.284      477.756       270      "Res Thick Film 1206 10K Ohm 0.5% 0.33W ±100ppm/°C Molded SMD Punched Carrier T/R"            
R17        ERJ-P08D1002V      TopLayer    ERJP08_(1206)                    1476.378      477.953       270      "Res Thick Film 1206 10K Ohm 0.5% 0.33W ±100ppm/°C Molded SMD Punched Carrier T/R"            
Q1         BSS138W-7-F        BottomLayer DIOD-SOT323-3_V                  1408.661      475.984       180      "N?? VDS=50V VGS=±20V ID=200mA P=200mW"                                                       
P3         M22-2010805        TopLayer    HDRV8W60P0X200_1X8_1600X200X525P 2453.937      590.551       90       "Connector, Header, 8Pos, 1Row, 2Mm Rohs Compliant: Yes"                                      
P2         22-05-2041         TopLayer    22052041                         1459.449      90.551        180      "Connector Unshrouded Header 4 Position 2.54mm Solder Right Angle Thru-Hole Bulk"             
U5         MCP3422A1-E/SN     BottomLayer SOIC-SN8_N                       848.425       250.000       0        "2-Channel Single ADC Delta-Sigma 3.75sps 18-bit Serial Automotive 8-Pin SOIC N Tube"         
U4         PCA9306D,118       BottomLayer SOIC127P600X175-8N               907.874       743.701       0        "PCA9306 Series 3.3 V Dual Bidirectional Voltage-Level Translator - SOIC-8"                   
U3         VEML7700-TT        TopLayer    VEML7700                         196.260       589.961       90       "Light to Digital Ambient Light Sensor Digital 0lux to 167000lux 8-Pin SMD T/R"               
U2         SEN-17049          TopLayer    SEN17049                         1968.898      499.370       90       "Smoke Sensor - MQ-2"                                                                         
U1         EKMC1603111        TopLayer    FP-EKMC1603111-MFG               791.819       499.370       0        "PaPIRs MOTION SENSOR VZ series 170uA (White) 12m detection range"                            
R16        ERJ-P08D1002V      TopLayer    ERJP08_(1206)                    1446.063      238.189       180      "Res Thick Film 1206 10K Ohm 0.5% 0.33W ±100ppm/°C Molded SMD Punched Carrier T/R"            
